name;zip;kpi;Month 1;Month 2;delivery service
Pizzeria Mama Rosa;8051;Avg Time to Accept (s);26.0;26.0;deliverando
China Restaurant Imperium;8010;# Commissionable Orders;486.0;561.0;deliverando
China Restaurant Imperium;8010;Avg Basket Size €;24.3;24.81;deliverando
China Restaurant Imperium;8010;# Negative Comments;1.0;1.0;deliverando
China Restaurant Imperium;8010;# Positive Comments;1.0;1.0;deliverando
China Restaurant Imperium;8010;% Kill Rate;85;79;deliverando
China Restaurant Imperium;8010;Avg Time to Accept (s);15.0;16.0;deliverando
Gambaro Rosso;8042;# Commissionable Orders;248.0;211.0;deliverando
Gambaro Rosso;8042;Avg Basket Size €;20.72;20.81;deliverando
Gambaro Rosso;8042;# Negative Comments;1.0;1.0;deliverando
Gambaro Rosso;8042;# Positive Comments;1.0;1.0;deliverando
Gambaro Rosso;8042;% Kill Rate;93;81;deliverando
Gambaro Rosso;8042;Avg Time to Accept (s);18.0;20.0;deliverando
China Restaurant Zum Goldenen Fisch;8010;# Commissionable Orders;333.0;335.0;deliverando
China Restaurant Zum Goldenen Fisch;8010;Avg Basket Size €;22.6;22.93;deliverando
China Restaurant Zum Goldenen Fisch;8010;# Negative Comments;6.0;1.0;deliverando
China Restaurant Zum Goldenen Fisch;8010;# Positive Comments;1.0;1.0;deliverando
China Restaurant Zum Goldenen Fisch;8010;% Kill Rate;103;106;deliverando
China Restaurant Zum Goldenen Fisch;8010;Avg Time to Accept (s);127.0;104.0;deliverando
Don Alfredo & Der Knusperwirt;8020;# Commissionable Orders;328.0;322.0;deliverando
Don Alfredo & Der Knusperwirt;8020;Avg Basket Size €;21.85;23.49;deliverando
Don Alfredo & Der Knusperwirt;8020;# Negative Comments;1.0;0.0;deliverando
Don Alfredo & Der Knusperwirt;8020;# Positive Comments;1.0;1.0;deliverando
Don Alfredo & Der Knusperwirt;8020;% Kill Rate;107;99;deliverando
Don Alfredo & Der Knusperwirt;8020;Avg Time to Accept (s);27.0;20.0;deliverando
Restaurant Pizzeria Venezia;8020;# Commissionable Orders;116.0;81.0;deliverando
Restaurant Pizzeria Venezia;8020;Avg Basket Size €;12.23;12.9;deliverando
Restaurant Pizzeria Venezia;8020;# Negative Comments;0.0;1.0;deliverando
Restaurant Pizzeria Venezia;8020;# Positive Comments;1.0;1.0;deliverando
Restaurant Pizzeria Venezia;8020;% Kill Rate;0.13;109;deliverando
Restaurant Pizzeria Venezia;8020;Avg Time to Accept (s);397.0;392.0;deliverando
Salz & Pfeffer;8020;# Commissionable Orders;460.0;528.0;deliverando
Salz & Pfeffer;8020;Avg Basket Size €;26.82;25.62;deliverando
Salz & Pfeffer;8020;# Negative Comments;6.0;2.0;deliverando
Salz & Pfeffer;8020;# Positive Comments;1.0;1.0;deliverando
Salz & Pfeffer;8020;% Kill Rate;91;0.08;deliverando
Salz & Pfeffer;8020;Avg Time to Accept (s);22.0;23.0;deliverando
Uni Pizza;8054;# Commissionable Orders;23.0;35.0;deliverando
Uni Pizza;8054;Avg Basket Size €;18.54;19.56;deliverando
Uni Pizza;8054;# Negative Comments;0.0;0.0;deliverando
Uni Pizza;8054;# Positive Comments;1.0;1.0;deliverando
Uni Pizza;8054;% Kill Rate;77;77;deliverando
Uni Pizza;8054;Avg Time to Accept (s);100.0;40.0;deliverando
Side Cafe-Pizzeria;8020;# Commissionable Orders;36.0;36.0;deliverando
Side Cafe-Pizzeria;8020;Avg Basket Size €;13.84;13.41;deliverando
Side Cafe-Pizzeria;8020;# Negative Comments;0.0;0.0;deliverando
Side Cafe-Pizzeria;8020;# Positive Comments;1.0;1.0;deliverando
Side Cafe-Pizzeria;8020;% Kill Rate;78;0.08;deliverando
Side Cafe-Pizzeria;8020;Avg Time to Accept (s);387.0;366.0;deliverando
Aming Dim Sum Profi;8010;# Commissionable Orders;235.0;299.0;deliverando
Aming Dim Sum Profi;8010;Avg Basket Size €;31.06;32.16;deliverando
Aming Dim Sum Profi;8010;# Negative Comments;1.0;1.0;deliverando
Aming Dim Sum Profi;8010;# Positive Comments;1.0;1.0;deliverando
Aming Dim Sum Profi;8010;% Kill Rate;115;105;deliverando
Aming Dim Sum Profi;8010;Avg Time to Accept (s);21.0;12.0;deliverando
Pizza Anka;8020;# Commissionable Orders;64.0;80.0;deliverando
Pizza Anka;8020;Avg Basket Size €;11.63;11.5;deliverando
Pizza Anka;8020;# Negative Comments;0.0;0.0;deliverando
Pizza Anka;8020;# Positive Comments;1.0;1.0;deliverando
Pizza Anka;8020;% Kill Rate;35;29;deliverando
Pizza Anka;8020;Avg Time to Accept (s);345.0;339.0;deliverando
Schnitzel Stubn;8010;# Commissionable Orders;0.0;0.0;deliverando
Schnitzel Stubn;8010;# Negative Comments;0.0;0.0;deliverando
Schnitzel Stubn;8010;# Positive Comments;0.0;0.0;deliverando
Phoenix Restaurant;8020;# Commissionable Orders;0.0;0.0;deliverando
Phoenix Restaurant;8020;# Negative Comments;0.0;0.0;deliverando
Phoenix Restaurant;8020;# Positive Comments;0.0;0.0;deliverando
Shu;8020;# Commissionable Orders;285.0;252.0;deliverando
Shu;8020;Avg Basket Size €;19.86;22.08;deliverando
Shu;8020;# Negative Comments;2.0;2.0;deliverando
Shu;8020;# Positive Comments;1.0;1.0;deliverando
Shu;8020;% Kill Rate;87;77;deliverando
Shu;8020;Avg Time to Accept (s);16.0;17.0;deliverando
China Haus;8043;# Commissionable Orders;240.0;300.0;deliverando
China Haus;8043;Avg Basket Size €;24.08;25.44;deliverando
China Haus;8043;# Negative Comments;0.0;1.0;deliverando
China Haus;8043;# Positive Comments;1.0;1.0;deliverando
China Haus;8043;% Kill Rate;86;81;deliverando
China Haus;8043;Avg Time to Accept (s);18.0;14.0;deliverando
King Pizzeria;8054;# Commissionable Orders;229.0;253.0;deliverando
King Pizzeria;8054;Avg Basket Size €;18.65;18.55;deliverando
King Pizzeria;8054;# Negative Comments;1.0;1.0;deliverando
King Pizzeria;8054;# Positive Comments;1.0;1.0;deliverando
King Pizzeria;8054;% Kill Rate;0.07;71;deliverando
King Pizzeria;8054;Avg Time to Accept (s);13.0;11.0;deliverando
Wiener & Co;8052;# Commissionable Orders;278.0;319.0;deliverando
Wiener & Co;8052;Avg Basket Size €;23.98;24.27;deliverando
Wiener & Co;8052;# Negative Comments;2.0;1.0;deliverando
Wiener & Co;8052;# Positive Comments;1.0;1.0;deliverando
Wiener & Co;8052;% Kill Rate;59;58;deliverando
Wiener & Co;8052;Avg Time to Accept (s);23.0;21.0;deliverando
Pizza und Kebap Studio;8042;# Commissionable Orders;674.0;643.0;deliverando
Pizza und Kebap Studio;8042;Avg Basket Size €;14.01;14.31;deliverando
Pizza und Kebap Studio;8042;# Negative Comments;6.0;3.0;deliverando
Pizza und Kebap Studio;8042;# Positive Comments;1.0;1.0;deliverando
Pizza und Kebap Studio;8042;% Kill Rate;47;43;deliverando
Pizza und Kebap Studio;8042;Avg Time to Accept (s);11.0;10.0;deliverando
Da Piero;8020;# Commissionable Orders;1463.0;1634.0;deliverando
Da Piero;8020;Avg Basket Size €;19.56;19.89;deliverando
Da Piero;8020;# Negative Comments;1.0;1.0;deliverando
Da Piero;8020;# Positive Comments;1.0;1.0;deliverando
Da Piero;8020;% Kill Rate;64;61;deliverando
Da Piero;8020;Avg Time to Accept (s);9.0;9.0;deliverando
Pizza Burg;8041;# Commissionable Orders;67.0;114.0;deliverando
Pizza Burg;8041;Avg Basket Size €;24.43;23.95;deliverando
Pizza Burg;8041;# Negative Comments;0.0;3.0;deliverando
Pizza Burg;8041;# Positive Comments;1.0;1.0;deliverando
Pizza Burg;8041;% Kill Rate;133;0.12;deliverando
Pizza Burg;8041;Avg Time to Accept (s);10.0;11.0;deliverando
China Restaurant Ye;8010;# Commissionable Orders;869.0;651.0;deliverando
China Restaurant Ye;8010;Avg Basket Size €;24.98;25.16;deliverando
China Restaurant Ye;8010;# Negative Comments;1.0;3.0;deliverando
China Restaurant Ye;8010;# Positive Comments;1.0;1.0;deliverando
China Restaurant Ye;8010;% Kill Rate;69;67;deliverando
China Restaurant Ye;8010;Avg Time to Accept (s);16.0;12.0;deliverando
Reggae Haus;8010;# Commissionable Orders;52.0;157.0;deliverando
Reggae Haus;8010;Avg Basket Size €;19.5;19.24;deliverando
Reggae Haus;8010;# Negative Comments;1.0;4.0;deliverando
Reggae Haus;8010;# Positive Comments;1.0;1.0;deliverando
Reggae Haus;8010;Avg Time to Accept (s);32.0;21.0;deliverando
Than Thai Asia;8041;# Commissionable Orders;191.0;129.0;deliverando
Than Thai Asia;8041;Avg Basket Size €;28.18;26.76;deliverando
Than Thai Asia;8041;# Negative Comments;1.0;0.0;deliverando
Than Thai Asia;8041;# Positive Comments;1.0;1.0;deliverando
Than Thai Asia;8041;% Kill Rate;127;112;deliverando
Than Thai Asia;8041;Avg Time to Accept (s);38.0;36.0;deliverando
Campuseck;8010;# Commissionable Orders;370.0;439.0;deliverando
Campuseck;8010;Avg Basket Size €;17.38;18.36;deliverando
Campuseck;8010;# Negative Comments;5.0;7.0;deliverando
Campuseck;8010;# Positive Comments;1.0;1.0;deliverando
Campuseck;8010;% Kill Rate;96;94;deliverando
Campuseck;8010;Avg Time to Accept (s);17.0;14.0;deliverando
Restaurant Z10;8010;# Commissionable Orders;1899.0;1859.0;deliverando
Restaurant Z10;8010;Avg Basket Size €;23.53;23.99;deliverando
Restaurant Z10;8010;# Negative Comments;4.0;7.0;deliverando
Restaurant Z10;8010;# Positive Comments;1.0;1.0;deliverando
Restaurant Z10;8010;% Kill Rate;63;0.06;deliverando
Restaurant Z10;8010;Avg Time to Accept (s);15.0;14.0;deliverando
The Perfect Bite;8020;# Commissionable Orders;80.0;76.0;deliverando
The Perfect Bite;8020;Avg Basket Size €;21.62;22.42;deliverando
The Perfect Bite;8020;# Negative Comments;2.0;0.0;deliverando
The Perfect Bite;8020;# Positive Comments;1.0;1.0;deliverando
The Perfect Bite;8020;% Kill Rate;111;111;deliverando
The Perfect Bite;8020;Avg Time to Accept (s);49.0;63.0;deliverando
Milu Milu Taiwanesisches Restaurant;8010;# Commissionable Orders;94.0;100.0;deliverando
Milu Milu Taiwanesisches Restaurant;8010;Avg Basket Size €;28.38;30.31;deliverando
Milu Milu Taiwanesisches Restaurant;8010;# Negative Comments;1.0;1.0;deliverando
Milu Milu Taiwanesisches Restaurant;8010;# Positive Comments;1.0;1.0;deliverando
Milu Milu Taiwanesisches Restaurant;8010;% Kill Rate;184;198;deliverando
Milu Milu Taiwanesisches Restaurant;8010;Avg Time to Accept (s);13.0;14.0;deliverando
Euroburger & Euronudel;8010;# Commissionable Orders;498.0;637.0;deliverando
Euroburger & Euronudel;8010;Avg Basket Size €;16.85;17.92;deliverando
Euroburger & Euronudel;8010;# Negative Comments;8.0;4.0;deliverando
Euroburger & Euronudel;8010;# Positive Comments;1.0;1.0;deliverando
Euroburger & Euronudel;8010;% Kill Rate;92;97;deliverando
Euroburger & Euronudel;8010;Avg Time to Accept (s);16.0;15.0;deliverando
Pizza & Burger;8020;# Commissionable Orders;360.0;508.0;deliverando
Pizza & Burger;8020;Avg Basket Size €;15.92;16.48;deliverando
Pizza & Burger;8020;# Negative Comments;3.0;2.0;deliverando
Pizza & Burger;8020;# Positive Comments;1.0;1.0;deliverando
Pizza & Burger;8020;% Kill Rate;79;74;deliverando
Pizza & Burger;8020;Avg Time to Accept (s);19.0;17.0;deliverando
Veggie+;8020;# Commissionable Orders;119.0;102.0;deliverando
Veggie+;8020;Avg Basket Size €;17.43;16.6;deliverando
Veggie+;8020;# Negative Comments;3.0;0.0;deliverando
Veggie+;8020;# Positive Comments;1.0;1.0;deliverando
Veggie+;8020;% Kill Rate;76;72;deliverando
Veggie+;8020;Avg Time to Accept (s);331.0;341.0;deliverando
Pizzaria Azzurro;8010;# Commissionable Orders;88.0;115.0;deliverando
Pizzaria Azzurro;8010;Avg Basket Size €;20.07;20.76;deliverando
Pizzaria Azzurro;8010;# Negative Comments;1.0;0.0;deliverando
Pizzaria Azzurro;8010;# Positive Comments;1.0;1.0;deliverando
Pizzaria Azzurro;8010;% Kill Rate;121;135;deliverando
Pizzaria Azzurro;8010;Avg Time to Accept (s);160.0;51.0;deliverando
Casa Mia;8020;# Commissionable Orders;178.0;101.0;deliverando
Casa Mia;8020;Avg Basket Size €;19.74;20.18;deliverando
Casa Mia;8020;# Negative Comments;1.0;2.0;deliverando
Casa Mia;8020;# Positive Comments;1.0;1.0;deliverando
Casa Mia;8020;% Kill Rate;58;0.04;deliverando
Casa Mia;8020;Avg Time to Accept (s);22.0;34.0;deliverando
Bellagio Uni4tel;8010;# Commissionable Orders;273.0;378.0;deliverando
Bellagio Uni4tel;8010;Avg Basket Size €;22.36;23.35;deliverando
Bellagio Uni4tel;8010;# Negative Comments;1.0;2.0;deliverando
Bellagio Uni4tel;8010;# Positive Comments;1.0;1.0;deliverando
Bellagio Uni4tel;8010;% Kill Rate;56;58;deliverando
Bellagio Uni4tel;8010;Avg Time to Accept (s);16.0;16.0;deliverando
Happy Burger;8020;# Commissionable Orders;330.0;451.0;deliverando
Happy Burger;8020;Avg Basket Size €;21.46;23.11;deliverando
Happy Burger;8020;# Negative Comments;1.0;1.0;deliverando
Happy Burger;8020;# Positive Comments;1.0;1.0;deliverando
Happy Burger;8020;% Kill Rate;65;59;deliverando
Happy Burger;8020;Avg Time to Accept (s);18.0;21.0;deliverando
X&D Wok;8020;# Commissionable Orders;66.0;64.0;deliverando
X&D Wok;8020;Avg Basket Size €;21.53;19.98;deliverando
X&D Wok;8020;# Negative Comments;0.0;0.0;deliverando
X&D Wok;8020;# Positive Comments;1.0;1.0;deliverando
X&D Wok;8020;% Kill Rate;71;68;deliverando
X&D Wok;8020;Avg Time to Accept (s);516.0;513.0;deliverando
Big Kebap Pizza & Burger;8053;# Commissionable Orders;537.0;591.0;deliverando
Big Kebap Pizza & Burger;8053;Avg Basket Size €;17.65;17.37;deliverando
Big Kebap Pizza & Burger;8053;# Negative Comments;3.0;8.0;deliverando
Big Kebap Pizza & Burger;8053;# Positive Comments;1.0;1.0;deliverando
Big Kebap Pizza & Burger;8053;% Kill Rate;53;56;deliverando
Big Kebap Pizza & Burger;8053;Avg Time to Accept (s);11.0;9.0;deliverando
Toscana;8054;# Commissionable Orders;184.0;202.0;deliverando
Toscana;8054;Avg Basket Size €;14.73;14.77;deliverando
Toscana;8054;# Negative Comments;1.0;1.0;deliverando
Toscana;8054;# Positive Comments;1.0;1.0;deliverando
Toscana;8054;% Kill Rate;53;68;deliverando
Toscana;8054;Avg Time to Accept (s);20.0;18.0;deliverando
Pizza Maxxx;8045;# Commissionable Orders;319.0;363.0;deliverando
Pizza Maxxx;8045;Avg Basket Size €;21.59;23.22;deliverando
Pizza Maxxx;8045;# Negative Comments;3.0;4.0;deliverando
Pizza Maxxx;8045;# Positive Comments;1.0;1.0;deliverando
Pizza Maxxx;8045;% Kill Rate;88;77;deliverando
Pizza Maxxx;8045;Avg Time to Accept (s);18.0;18.0;deliverando
Waltendorfer Kebab-Pizza;8010;# Commissionable Orders;265.0;268.0;deliverando
Waltendorfer Kebab-Pizza;8010;Avg Basket Size €;16.83;16.75;deliverando
Waltendorfer Kebab-Pizza;8010;# Negative Comments;2.0;0.0;deliverando
Waltendorfer Kebab-Pizza;8010;# Positive Comments;1.0;1.0;deliverando
Waltendorfer Kebab-Pizza;8010;% Kill Rate;59;62;deliverando
Waltendorfer Kebab-Pizza;8010;Avg Time to Accept (s);19.0;21.0;deliverando
dean & david Wels;8010;# Commissionable Orders;767.0;752.0;deliverando
dean & david Wels;8010;Avg Basket Size €;26.48;26.1;deliverando
dean & david Wels;8010;# Negative Comments;1.0;0.0;deliverando
dean & david Wels;8010;# Positive Comments;1.0;1.0;deliverando
dean & david Wels;8010;% Kill Rate;79;82;deliverando
dean & david Wels;8010;Avg Time to Accept (s);19.0;19.0;deliverando
Ristorante Pizzeria La Perla;8055;# Commissionable Orders;318.0;360.0;deliverando
Ristorante Pizzeria La Perla;8055;Avg Basket Size €;18.36;18.39;deliverando
Ristorante Pizzeria La Perla;8055;# Negative Comments;0.0;0.0;deliverando
Ristorante Pizzeria La Perla;8055;# Positive Comments;1.0;1.0;deliverando
Ristorante Pizzeria La Perla;8055;% Kill Rate;86;86;deliverando
Ristorante Pizzeria La Perla;8055;Avg Time to Accept (s);9.0;10.0;deliverando
Goldener Apfel;8010;# Commissionable Orders;6.0;1.0;deliverando
Goldener Apfel;8010;# Negative Comments;0.0;0.0;deliverando
Goldener Apfel;8010;# Positive Comments;1.0;0.0;deliverando
Goldener Apfel;8010;% Kill Rate;79;93;deliverando
Due Amici;8020;# Commissionable Orders;114.0;108.0;deliverando
Due Amici;8020;Avg Basket Size €;20.5;18.26;deliverando
Due Amici;8020;# Negative Comments;2.0;0.0;deliverando
Due Amici;8020;# Positive Comments;1.0;1.0;deliverando
Due Amici;8020;% Kill Rate;98;0.08;deliverando
Due Amici;8020;Avg Time to Accept (s);333.0;446.0;deliverando
Pizza Presto;8053;# Commissionable Orders;160.0;195.0;deliverando
Pizza Presto;8053;Avg Basket Size €;23.42;22.02;deliverando
Pizza Presto;8053;# Negative Comments;2.0;1.0;deliverando
Pizza Presto;8053;# Positive Comments;1.0;1.0;deliverando
Pizza Presto;8053;% Kill Rate;109;94;deliverando
Pizza Presto;8053;Avg Time to Accept (s);21.0;23.0;deliverando
Pizzeria Ristorante Da Vinci Linz;8010;# Commissionable Orders;1933.0;2180.0;deliverando
Pizzeria Ristorante Da Vinci Linz;8010;Avg Basket Size €;20.42;21.52;deliverando
Pizzeria Ristorante Da Vinci Linz;8010;# Negative Comments;7.0;10.0;deliverando
Pizzeria Ristorante Da Vinci Linz;8010;# Positive Comments;1.0;1.0;deliverando
Pizzeria Ristorante Da Vinci Linz;8010;% Kill Rate;51;47;deliverando
Pizzeria Ristorante Da Vinci Linz;8010;Avg Time to Accept (s);16.0;13.0;deliverando
Pizzeria Violeta;8010;# Commissionable Orders;624.0;634.0;deliverando
Pizzeria Violeta;8010;Avg Basket Size €;21.1;21.05;deliverando
Pizzeria Violeta;8010;# Negative Comments;0.0;1.0;deliverando
Pizzeria Violeta;8010;# Positive Comments;1.0;1.0;deliverando
Pizzeria Violeta;8010;% Kill Rate;84;76;deliverando
Pizzeria Violeta;8010;Avg Time to Accept (s);10.0;10.0;deliverando
Pizzeria Casa Roma;8010;# Commissionable Orders;827.0;918.0;deliverando
Pizzeria Casa Roma;8010;Avg Basket Size €;17.19;17.21;deliverando
Pizzeria Casa Roma;8010;# Negative Comments;6.0;9.0;deliverando
Pizzeria Casa Roma;8010;# Positive Comments;1.0;1.0;deliverando
Pizzeria Casa Roma;8010;% Kill Rate;79;86;deliverando
Pizzeria Casa Roma;8010;Avg Time to Accept (s);16.0;15.0;deliverando
Die Grüne Karotte;8010;# Commissionable Orders;12.0;115.0;deliverando
Die Grüne Karotte;8010;Avg Basket Size €;23.43;18.32;deliverando
Die Grüne Karotte;8010;# Negative Comments;0.0;1.0;deliverando
Die Grüne Karotte;8010;# Positive Comments;1.0;1.0;deliverando
Die Grüne Karotte;8010;% Kill Rate;83;93;deliverando
Die Grüne Karotte;8010;Avg Time to Accept (s);640.0;440.0;deliverando
Me Gusta;8042;# Commissionable Orders;387.0;453.0;deliverando
Me Gusta;8042;Avg Basket Size €;21.52;22.19;deliverando
Me Gusta;8042;# Negative Comments;0.0;2.0;deliverando
Me Gusta;8042;# Positive Comments;1.0;1.0;deliverando
Me Gusta;8042;% Kill Rate;71;65;deliverando
Me Gusta;8042;Avg Time to Accept (s);18.0;19.0;deliverando
Euro Pizza Kebap Burger;8010;# Commissionable Orders;320.0;215.0;deliverando
Euro Pizza Kebap Burger;8010;Avg Basket Size €;17.75;18.84;deliverando
Euro Pizza Kebap Burger;8010;# Negative Comments;1.0;1.0;deliverando
Euro Pizza Kebap Burger;8010;# Positive Comments;1.0;1.0;deliverando
Euro Pizza Kebap Burger;8010;% Kill Rate;59;57;deliverando
Euro Pizza Kebap Burger;8010;Avg Time to Accept (s);9.0;9.0;deliverando
Pizza Profi;8051;# Commissionable Orders;336.0;430.0;deliverando
Pizza Profi;8051;Avg Basket Size €;18.24;17.87;deliverando
Pizza Profi;8051;# Negative Comments;1.0;3.0;deliverando
Pizza Profi;8051;# Positive Comments;1.0;1.0;deliverando
Pizza Profi;8051;% Kill Rate;93;93;deliverando
Pizza Profi;8051;Avg Time to Accept (s);14.0;14.0;deliverando
Gössendorfer Haus Pizza Kebap;8041;# Commissionable Orders;41.0;68.0;deliverando
Gössendorfer Haus Pizza Kebap;8041;Avg Basket Size €;21.71;21.55;deliverando
Gössendorfer Haus Pizza Kebap;8041;# Negative Comments;1.0;0.0;deliverando
Gössendorfer Haus Pizza Kebap;8041;# Positive Comments;1.0;1.0;deliverando
Gössendorfer Haus Pizza Kebap;8041;% Kill Rate;94;75;deliverando
Gössendorfer Haus Pizza Kebap;8041;Avg Time to Accept (s);15.0;14.0;deliverando
Mistyria Cafe Restaurant;8010;# Commissionable Orders;38.0;150.0;deliverando
Mistyria Cafe Restaurant;8010;Avg Basket Size €;15.72;13.51;deliverando
Mistyria Cafe Restaurant;8010;# Negative Comments;2.0;3.0;deliverando
Mistyria Cafe Restaurant;8010;# Positive Comments;1.0;1.0;deliverando
Mistyria Cafe Restaurant;8010;% Kill Rate;89;78;deliverando
Mistyria Cafe Restaurant;8010;Avg Time to Accept (s);17.0;17.0;deliverando
Felice;8042;# Commissionable Orders;0.0;0.0;deliverando
Felice;8042;# Negative Comments;0.0;0.0;deliverando
Felice;8042;# Positive Comments;0.0;0.0;deliverando
Alforno;8052;# Commissionable Orders;319.0;342.0;deliverando
Alforno;8052;Avg Basket Size €;19.6;20.61;deliverando
Alforno;8052;# Negative Comments;1.0;1.0;deliverando
Alforno;8052;# Positive Comments;1.0;1.0;deliverando
Alforno;8052;% Kill Rate;44;45;deliverando
Alforno;8052;Avg Time to Accept (s);17.0;17.0;deliverando
Elit Restaurant Pizza & Grill;8020;# Commissionable Orders;139.0;221.0;deliverando
Elit Restaurant Pizza & Grill;8020;Avg Basket Size €;14.73;12.2;deliverando
Elit Restaurant Pizza & Grill;8020;# Negative Comments;2.0;1.0;deliverando
Elit Restaurant Pizza & Grill;8020;# Positive Comments;1.0;1.0;deliverando
Elit Restaurant Pizza & Grill;8020;% Kill Rate;59;62;deliverando
Elit Restaurant Pizza & Grill;8020;Avg Time to Accept (s);310.0;289.0;deliverando
Casa Transilvania;8020;# Commissionable Orders;0.0;0.0;deliverando
Casa Transilvania;8020;# Negative Comments;0.0;0.0;deliverando
Casa Transilvania;8020;# Positive Comments;0.0;0.0;deliverando
Yong Ramen;8010;# Commissionable Orders;11.0;0.0;deliverando
Yong Ramen;8010;# Negative Comments;0.0;0.0;deliverando
Yong Ramen;8010;# Positive Comments;0.0;0.0;deliverando
Yong Ramen;8010;% Kill Rate;86;101;deliverando
Zu den 3 goldenen Kugeln;8020;# Commissionable Orders;10.0;22.0;deliverando
Zu den 3 goldenen Kugeln;8020;Avg Basket Size €;29.43;25.19;deliverando
Zu den 3 goldenen Kugeln;8020;# Negative Comments;0.0;0.0;deliverando
Zu den 3 goldenen Kugeln;8020;# Positive Comments;0.0;1.0;deliverando
Zu den 3 goldenen Kugeln;8020;% Kill Rate;0.03;48;deliverando
Zu den 3 goldenen Kugeln;8020;Avg Time to Accept (s);156.0;641.0;deliverando
Kolbe-Persisches Grillhaus;8020;# Commissionable Orders;47.0;67.0;deliverando
Kolbe-Persisches Grillhaus;8020;Avg Basket Size €;26.25;22.82;deliverando
Kolbe-Persisches Grillhaus;8020;# Negative Comments;0.0;0.0;deliverando
Kolbe-Persisches Grillhaus;8020;# Positive Comments;1.0;1.0;deliverando
Kolbe-Persisches Grillhaus;8020;% Kill Rate;147;0.15;deliverando
Kolbe-Persisches Grillhaus;8020;Avg Time to Accept (s);23.0;18.0;deliverando
Burger King;8010;# Commissionable Orders;212.0;309.0;deliverando
Burger King;8010;Avg Basket Size €;23.35;24.3;deliverando
Burger King;8010;# Negative Comments;3.0;1.0;deliverando
Burger King;8010;# Positive Comments;1.0;1.0;deliverando
Burger King;8010;% Kill Rate;39;54;deliverando
Burger King;8010;Avg Time to Accept (s);10.0;10.0;deliverando
LIU - authentisch asiatische Küche;8010;# Commissionable Orders;436.0;417.0;deliverando
